"","Código","Departamento","caracteristica","grupo","observaciones"
"60","16","Alta Verapaz","Promedio de personas por hogar","No hay grupo",5.32
"61","17","Petén","Promedio de personas por hogar","No hay grupo",4.37
"62","18","Izabal","Promedio de personas por hogar","No hay grupo",4.3
"63","19","Zacapa","Promedio de personas por hogar","No hay grupo",4.11
"64","20","Chiquimula","Promedio de personas por hogar","No hay grupo",4.56
"65","21","Jalapa","Promedio de personas por hogar","No hay grupo",4.66
"66","22","Jutiapa","Promedio de personas por hogar","No hay grupo",4.18
"67","1","Guatemala","Promedio de personas por dormitorio","No hay grupo",1.8
"68","2","El Progreso","Promedio de personas por dormitorio","No hay grupo",2.08
"69","3","Sacatepéquez","Promedio de personas por dormitorio","No hay grupo",1.91
"70","4","Chimaltenango","Promedio de personas por dormitorio","No hay grupo",2.33
"71","5","Escuintla","Promedio de personas por dormitorio","No hay grupo",2.33
"72","6","Santa Rosa","Promedio de personas por dormitorio","No hay grupo",2.24
"73","7","Sololá","Promedio de personas por dormitorio","No hay grupo",2.4
"74","8","Totonicapán","Promedio de personas por dormitorio","No hay grupo",2.67
"75","9","Quetzaltenango","Promedio de personas por dormitorio","No hay grupo",2.15
"76","10","Suchitepéquez","Promedio de personas por dormitorio","No hay grupo",2.63
"77","11","Retalhuleu","Promedio de personas por dormitorio","No hay grupo",2.48
"78","12","San Marcos","Promedio de personas por dormitorio","No hay grupo",2.78
"79","13","Huehuetenango","Promedio de personas por dormitorio","No hay grupo",2.81
"80","14","Quiché","Promedio de personas por dormitorio","No hay grupo",2.91
"81","15","Baja Verapaz","Promedio de personas por dormitorio","No hay grupo",2.5
"82","16","Alta Verapaz","Promedio de personas por dormitorio","No hay grupo",3.27
"83","17","Petén","Promedio de personas por dormitorio","No hay grupo",2.44
"84","18","Izabal","Promedio de personas por dormitorio","No hay grupo",2.44
"85","19","Zacapa","Promedio de personas por dormitorio","No hay grupo",2.2
"86","20","Chiquimula","Promedio de personas por dormitorio","No hay grupo",2.51
"87","21","Jalapa","Promedio de personas por dormitorio","No hay grupo",2.45
"88","22","Jutiapa","Promedio de personas por dormitorio","No hay grupo",2.27
